"","date","pressure","max.temp","mean.temp","min.temp","dew.pt","relHum","cloud","rainfall","reduced.vis","sunshine","sol.rad","evapor","wind.dir","wind.speed"
"2",2014-01-01,1019.3,18.9,15.7,13,6.3,54,0,"-",6,9.5,16.11,2.6,"040",13
"3",2014-01-02,1016.8,19.3,16.8,14.4,11.8,73,49,"-",18,4.5,11.77,2,"040",16.1
"4",2014-01-03,1015.7,22.5,19.8,17.2,12.9,65,28,"-",19,8.6,13.92,3,"020",10.6
"5",2014-01-04,1017.8,21.8,18.8,16.8,8.2,51,0,"-",23,8.8,13.49,3.6,"020",24
"6",2014-01-05,1018.8,18.7,16.3,14.5,8.3,60,2,"-",13,9,14.17,3.2,"070",24.3
"7",2014-01-06,1018,18.5,16.5,14.8,11.3,72,26,"-",19,9.1,14.7,2.8,"070",33.8
"8",2014-01-07,1016.8,19.1,17.8,16.5,14.4,81,88,"Trace",6,1.5,10.02,1.7,"060",28.6
"9",2014-01-08,1017.9,21,18.8,16.1,16,84,74,"Trace",13,0.9,5.27,2.9,"030",17.4
"10",2014-01-09,1022.9,16.6,15.5,14.3,9.6,68,83,"-",1,NA,4.91,1.8,"030",25.5
"11",2014-01-10,1024.3,16.2,15.3,14.4,11.2,76,87,"Trace",7,NA,6.52,3.1,"080",38.1
"12",2014-01-11,1023.7,18.8,16.2,14.1,12.3,78,32,"-",5,9.7,17.21,1.2,"070",29.1
"13",2014-01-12,1023.3,21.5,17.5,15.1,12.4,73,29,"-",13,7.6,13.58,3.1,"030",23.8
"14",2014-01-13,1023.6,16.2,13.9,11.8,8,67,50,"-",0,4.9,12.2,3.5,"030",28.1
"15",2014-01-14,1023.6,16.8,13.2,10.6,6.8,65,39,"-",6,9.4,16.18,3.4,"030",26.2
"16",2014-01-15,1025.6,16.1,13.2,11.2,6,62,27,"-",0,9.8,18.41,3.2,"030",28.5
"17",2014-01-16,1024.3,16.7,13.9,11.8,8.1,68,28,"-",1,9.3,17.42,3,"060",30.3
"18",2014-01-17,1023.3,18.9,15.5,12.7,11,75,15,"-",16,9.3,14.91,2.9,"060",14.7
"19",2014-01-18,1026.1,19.7,16.2,13.5,4.9,48,0,"-",0,9.9,17.5,3.7,"030",23
"20",2014-01-19,1026,16.7,14.6,13.2,8.7,69,22,"-",21,7.6,14.49,4.4,"070",30.3
"21",2014-01-20,1023.7,20.5,16.4,13.4,5.6,51,10,"-",17,9.9,16.6,3.7,"030",18.8
"22",2014-01-21,1024.5,17.6,14.9,12.9,-1.4,33,0,"-",3,9.7,16.22,4.8,"030",31.5
"23",2014-01-22,1025.2,17,13.3,10.3,0.6,43,0,"-",0,10,18.2,2.8,"030",18.6
"24",2014-01-23,1023.2,15.8,13.3,11.6,7.8,70,12,"-",0,9.6,18.32,2.7,"080",26.9
"25",2014-01-24,1018.8,18.5,15.6,12.9,11.7,78,46,"-",0,9.5,17.7,2.1,"060",28
"26",2014-01-25,1017.7,21.4,18.4,16.5,14.4,78,83,"-",3,6.5,15.27,2.7,"050",20.8
"27",2014-01-26,1019.4,24.4,19,16.3,14.6,76,74,"-",12,5.3,13.4,1.5,"030",19.9
"28",2014-01-27,1021.3,18.9,16.4,15,11.6,74,30,"-",6,8.8,16.46,2.7,"090",28.8
"29",2014-01-28,1020.4,20.3,17,14.8,12.3,75,21,"-",0,9.6,16.32,2.5,"070",20.1
"30",2014-01-29,1019.9,21.2,17.8,15.6,12.7,72,2,"-",0,10.1,18.83,2.9,"050",15.4
"31",2014-01-30,1019.3,22.9,18.9,15.9,14.4,75,5,"-",0,10.2,18.45,2.9,"040",7.3
"32",2014-01-31,1018.4,22.8,19.4,16.4,15.1,77,16,"-",3,10.2,18.99,2.9,"060",9.9
